Player,Rank,AVG PICK,7 DAY +/-,%ROST,POS,TM
Pat Freiermuth,152,152.9,0.2,66.1,TE,PIT
Kirk Cousins,153,154.9,-1.4,61.2,QB,ATL
Kendre Miller,154,155.9,-0.1,18.2,RB,NO
Trevor Lawrence,155,156.2,-0.6,53.8,QB,JAX
Antonio Gibson,156,156.6,-0.6,45.2,RB,NE
Adam Thielen,157,159.0,0.1,66.1,WR,CAR
Bills STBuf,158,159.4,-0.9,30.2,ST,D/
Matt Gay,159,160.7,0.2,24.8,dK,IN
MarShawn Lloyd,160,160.8,0.0,14.9,RB,GB
Bengals STCin,161,161.2,-0.6,60.6,ST,D/
Xavier Legette,162,161.3,-0.5,32.9,WR,CAR
Deshaun Watson,163,162.2,0.5,40.2,QB,CLE
Ty Chandler,164,162.3,-0.6,50.4,RB,MIN
Jaguars STJax,165,162.5,-0.3,40.7,ST,D/
Matthew Stafford,166,162.9,0.4,28.4,QB,LAR
Romeo Doubs,167,163.2,0.1,25.6,WR,GB
Adonai Mitchell,168,164.0,-0.1,15.3,WR,IND
Dustin Hopkins,169,164.1,0.1,21.0,eK,CL
Cairo Santos,170,164.2,-0.4,43.3,iK,CH
Khalil Shakir,171,164.4,0.4,12.1,WR,BUF
Cameron Dicker,172,164.5,-0.2,50.6,CK,LA
DeMario Douglas,173,164.6,0.8,19.6,WR,NE
Bears STChi,174,164.8,-0.3,33.0,ST,D/
Eagles STPhi,175,165.2,-0.1,17.8,ST,D/
Taysom Hill,176,165.2,0.0,19.2,TE,NO
Gabe Davis,177,165.7,0.1,27.5,WR,JAX
Brandin Cooks,178,165.9,0.0,20.3,WR,DAL
Tyler Bass,179,166.1,0.5,9.1,fK,BU
Texans STHou,180,166.2,-0.6,23.0,ST,D/
Jaleel McLaughlin,181,166.4,0.3,11.3,RB,DEN
J.J. McCarthy,182,166.4,-0.6,17.4,QB,MIN
Baker Mayfield,183,166.7,0.3,19.4,QB,TB
Rico Dowdle,184,166.8,0.1,13.2,RB,DAL
Seahawks STSea,185,167.5,-0.4,19.9,ST,D/
Chargers D/STLA,186,167.5,0.3,6.4,ST,CD/
Tyler Conklin,187,167.7,0.3,20.1,TE,NYJ
Jaylen Wright,188,167.8,-0.4,6.5,RB,MIA
Ricky Pearsall,189,167.9,0.3,7.0,WR,SF
Ben Sinnott,190,167.9,0.5,4.4,TE,WSH
Odell Beckham Jr.,191,168.1,-0.2,6.3,WR,MIA
Chuba Hubbard,192,168.1,-0.1,18.8,RB,CAR
Jason Sanders,193,168.3,0.2,7.5,aK,MI
Raiders D/STL,194,168.4,-0.1,15.8,ST,VD/
Marvin Mims Jr.,195,168.5,0.0,5.4,WR,DEN
Bryce Young,196,168.6,0.1,5.7,QB,CAR
